customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-100051,Male,0,Yes,Yes,35,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),43.78,1542.1,No
CUST-100052,Male,0,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),44.02,1514.73,No
CUST-100053,Male,0,Yes,No,18,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),78.85,1474.95,No
CUST-100054,Male,0,No,Yes,53,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),96.32,5121.56,Yes
CUST-100055,Male,0,No,Yes,38,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,99.02,3625.82,No
CUST-100056,Female,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),88.83,0.0,Yes
CUST-100057,Male,1,Yes,No,29,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,83.39,2468.48,No
CUST-100058,Female,0,No,Yes,29,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,70.49,2054.94,No
CUST-100059,Female,0,No,No,64,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,87.51,5581.98,Yes
CUST-100060,Female,0,Yes,Yes,31,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),77.4,2455.96,No
CUST-100061,Female,0,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,46.84,1934.99,No
CUST-100062,Male,1,No,No,6,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),107.3,663.99,No
CUST-100063,Female,0,Yes,No,28,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),98.0,2759.2,No
CUST-100064,Male,1,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,36.94,721.94,No
CUST-100065,Male,0,Yes,No,36,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),99.74,3423.94,No
CUST-100066,Female,1,Yes,Yes,65,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),106.56,6787.42,No
CUST-100067,Male,0,No,No,68,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,67.34,4742.16,No
CUST-100068,Male,0,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,43.48,903.17,No
CUST-100069,Male,0,No,No,44,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),84.41,3697.65,No
CUST-100070,Female,0,No,No,69,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,68.69,4594.67,Yes
CUST-100071,Male,0,No,Yes,16,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,80.31,1283.36,Yes
CUST-100072,Male,0,Yes,No,31,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),74.82,2391.85,Yes
CUST-100073,Male,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,101.47,3659.22,Yes
CUST-100074,Female,0,No,No,0,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,81.99,0.0,Yes
CUST-100075,Male,0,No,No,33,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,112.66,3567.22,No
CUST-100076,Male,0,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,111.37,852.98,Yes
CUST-100077,Male,0,Yes,Yes,22,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,74.84,1629.7,No
CUST-100078,Female,0,Yes,No,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,77.7,625.94,Yes
CUST-100079,Female,0,Yes,No,53,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),73.73,3899.54,Yes
CUST-100080,Female,0,No,Yes,60,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),97.31,5691.54,Yes
CUST-100081,Male,0,Yes,No,19,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,89.91,1656.34,No
CUST-100082,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Credit card (automatic),57.26,113.54,No
CUST-100083,Female,0,Yes,No,35,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,72.61,2521.45,No
CUST-100084,Female,1,Yes,Yes,8,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,60.48,499.35,No
CUST-100085,Female,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),37.11,1169.75,Yes
CUST-100086,Male,0,No,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),45.15,1709.32,No
CUST-100087,Male,0,No,Yes,34,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),95.3,3256.12,No
CUST-100088,Female,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),44.26,1698.26,No
CUST-100089,Female,0,No,Yes,41,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),79.23,3404.17,No
CUST-100090,Male,0,Yes,No,11,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,106.99,1196.97,No
CUST-100091,Female,0,No,No,49,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,106.38,5266.38,No
CUST-100092,Female,0,No,Yes,48,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,116.66,5643.56,No
CUST-100093,Male,0,Yes,No,10,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),93.34,908.67,Yes
CUST-100094,Female,0,No,No,31,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.34,3056.22,Yes
CUST-100095,Male,1,Yes,No,21,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.36,412.9,No
CUST-100096,Male,1,Yes,Yes,29,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),80.65,2452.0,Yes
CUST-100097,Female,1,Yes,No,56,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),74.61,4381.32,No
CUST-100098,Female,1,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,93.55,4171.43,No
CUST-100099,Male,0,No,No,66,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Electronic check,77.34,5272.35,No
CUST-100100,Female,0,No,No,41,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.01,2969.07,No
CUST-100101,Male,0,No,Yes,3,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),81.37,233.6,No
CUST-100102,Female,0,No,Yes,51,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),115.08,5926.53,No
CUST-100103,Male,0,No,Yes,5,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,103.16,512.18,Yes
CUST-100104,Female,1,Yes,Yes,24,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,99.52,2439.77,Yes
CUST-100105,Female,0,Yes,No,68,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,92.0,6355.89,Yes
CUST-100106,Female,0,Yes,No,72,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),62.4,4317.32,No
CUST-100107,Female,0,No,Yes,10,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),101.13,1018.0,No
CUST-100108,Male,0,No,No,71,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,No,Credit card (automatic),75.12,5464.51,No
CUST-100109,Female,0,No,No,71,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,78.93,5792.13,Yes
CUST-100110,Male,0,Yes,Yes,64,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,99.92,6171.86,Yes
CUST-100111,Female,0,Yes,No,60,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),63.39,3772.94,No
CUST-100112,Female,0,No,Yes,5,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),80.49,408.5,Yes
CUST-100113,Male,1,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,38.71,308.79,Yes
CUST-100114,Female,0,No,No,44,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),95.48,4268.17,Yes
CUST-100115,Female,0,Yes,No,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.71,159.29,Yes
CUST-100116,Male,0,Yes,No,18,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),106.52,1925.27,Yes
CUST-100117,Male,0,No,Yes,71,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),77.18,5249.8,No
CUST-100118,Male,0,No,No,66,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,102.64,6731.77,No
CUST-100119,Male,1,No,Yes,18,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.23,420.45,No
CUST-100120,Male,0,No,Yes,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,21.25,810.53,No
CUST-100121,Female,0,Yes,Yes,39,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,97.58,3655.63,No
CUST-100122,Female,0,No,No,19,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),78.62,1460.12,No
CUST-100123,Male,0,No,No,17,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),103.69,1840.21,No
CUST-100124,Female,0,No,No,31,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,71.2,2302.42,Yes
CUST-100125,Female,0,No,No,43,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),66.76,2779.79,Yes
CUST-100126,Male,1,Yes,No,58,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Mailed check,67.21,3745.64,No
CUST-100127,Female,0,Yes,No,61,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),72.32,4224.16,No
CUST-100128,Female,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,104.43,103.1,Yes
CUST-100129,Female,0,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,36.94,1651.94,No
CUST-100130,Female,0,Yes,No,44,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,85.81,3791.02,No
CUST-100131,Female,1,Yes,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),96.34,292.88,Yes
CUST-100132,Male,0,No,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),37.84,2270.05,No
CUST-100133,Female,0,No,No,43,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,77.86,3343.05,Yes
CUST-100134,Female,0,No,No,52,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),103.39,5320.12,No
CUST-100135,Male,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,106.5,4864.34,No
CUST-100136,Female,0,No,Yes,24,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,85.43,2097.9,No
CUST-100137,Male,0,No,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,92.18,1284.02,Yes
CUST-100138,Male,0,No,No,27,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),100.53,2594.53,Yes
CUST-100139,Male,0,Yes,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,38.79,2218.22,Yes
CUST-100140,Female,0,No,No,46,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,92.42,4115.96,Yes
CUST-100141,Male,0,No,No,45,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.41,4533.8,Yes
CUST-100142,Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,101.42,945.87,Yes
CUST-100143,Male,0,No,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,43.68,0.0,Yes
CUST-100144,Female,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),36.04,1815.93,Yes
CUST-100145,Female,0,Yes,Yes,69,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),66.92,4650.37,No
CUST-100146,Male,0,No,No,26,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,93.23,2415.19,Yes
CUST-100147,Male,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,36.97,1160.79,No
CUST-100148,Female,0,Yes,No,69,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),81.76,5662.03,No
CUST-100149,Male,1,Yes,No,16,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,112.3,1753.43,Yes
CUST-100150,Female,0,No,Yes,38,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),105.18,3835.82,Yes
CUST-100151,Male,0,Yes,No,6,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,104.96,604.25,Yes
CUST-100152,Female,0,No,Yes,19,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),105.87,2041.79,No
CUST-100153,Male,0,Yes,No,27,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,112.53,2946.68,No
CUST-100154,Male,0,Yes,Yes,50,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,75.28,3659.69,Yes
CUST-100155,Female,0,Yes,No,22,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),104.27,2278.84,Yes
CUST-100156,Male,0,No,No,33,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,83.14,2709.31,Yes
CUST-100157,Female,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),37.59,786.82,No
CUST-100158,Female,1,Yes,Yes,10,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),77.2,791.01,No
CUST-100159,Female,0,Yes,Yes,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),110.84,6429.32,Yes
CUST-100160,Female,0,Yes,No,49,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.31,4020.08,Yes
CUST-100161,Female,1,No,Yes,47,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),104.16,4955.02,Yes
CUST-100162,Male,1,No,Yes,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,36.55,1539.16,No
CUST-100163,Male,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,40.98,385.83,No
CUST-100164,Male,0,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,102.38,3624.89,No
CUST-100165,Female,0,No,Yes,51,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.61,3725.34,Yes
CUST-100166,Male,0,Yes,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,46.84,1644.72,Yes
CUST-100167,Male,0,Yes,No,52,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,52.88,2701.83,No
CUST-100168,Male,0,Yes,No,24,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,67.53,1604.82,No
CUST-100169,Male,0,Yes,No,37,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,86.2,3344.86,Yes
CUST-100170,Male,0,Yes,No,27,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),96.0,2717.27,Yes
CUST-100171,Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,36.9,2667.98,No
CUST-100172,Female,0,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,40.94,532.59,Yes
CUST-100173,Female,0,No,Yes,20,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,107.78,2114.2,Yes
CUST-100174,Female,0,No,No,49,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),100.81,4904.13,No
CUST-100175,Male,1,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,37.21,155.19,Yes
CUST-100176,Female,0,No,No,37,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Mailed check,107.94,3898.15,No
